Date,1M,2M,3M,6M,12M
4/24/2015,0.1815,0.23225,0.279,0.4089,0.7059
4/23/2015,0.18125,0.23125,0.277,0.40865,0.7064
4/22/2015,0.18175,0.23025,0.2775,0.4049,0.69915
4/21/2015,0.1815,0.22945,0.27725,0.40565,0.7009
4/20/2015,0.1805,0.22745,0.276,0.4054,0.69515
4/17/2015,0.18025,0.2285,0.27575,0.4029,0.68465
4/16/2015,0.18055,0.226,0.2751,0.40265,0.6914
4/15/2015,0.1804,0.22625,0.27435,0.4014,0.69265
4/14/2015,0.1825,0.22675,0.27555,0.4049,0.7001
4/13/2015,0.1815,0.22725,0.2753,0.40515,0.70335
4/10/2015,0.1785,0.2285,0.277,0.4044,0.69835
4/9/2015,0.18,0.2285,0.2759,0.4034,0.69435
4/8/2015,0.18095,0.2265,0.2712,0.3995,0.6891
4/7/2015,0.18015,0.2237,0.27375,0.3984,0.6856
4/2/2015,0.17975,0.2205,0.27375,0.40115,0.69235
4/1/2015,0.17755,0.2236,0.27075,0.4034,0.6981
3/31/2015,0.17625,0.2218,0.27075,0.40065,0.6942
3/30/2015,0.17925,0.2236,0.27415,0.40265,0.6989
3/27/2015,0.178,0.2231,0.2754,0.4049,0.70215
3/26/2015,0.17775,0.2215,0.27305,0.4019,0.6999
3/25/2015,0.1756,0.2215,0.26855,0.3979,0.69715
3/24/2015,0.17275,0.2205,0.26935,0.39865,0.6924
3/23/2015,0.17375,0.2213,0.2668,0.39485,0.6911
3/20/2015,0.174,0.2213,0.2668,0.39735,0.69735
3/19/2015,0.17325,0.2188,0.26455,0.39385,0.68685
3/18/2015,0.176,0.2203,0.2703,0.4091,0.71535
3/17/2015,0.1775,0.223,0.26935,0.4061,0.71335
3/16/2015,0.177,0.2215,0.27015,0.4019,0.71335
3/13/2015,0.1765,0.2212,0.27065,0.4029,0.71335
3/12/2015,0.1745,0.2202,0.2706,0.4031,0.7136
3/11/2015,0.176,0.2195,0.2699,0.4014,0.7151
3/10/2015,0.1779,0.2185,0.2677,0.4042,0.71085
3/9/2015,0.1765,0.217,0.2666,0.4041,0.7111
3/6/2015,0.175,0.2165,0.2646,0.3976,0.6881
3/5/2015,0.175,0.215,0.2636,0.3971,0.68885
3/4/2015,0.175,0.2147,0.2636,0.3956,0.6886
3/3/2015,0.173,0.2155,0.26515,0.3879,0.6871
3/2/2015,0.1727,0.2145,0.26095,0.3842,0.68185
2/27/2015,0.173,0.2145,0.26185,0.3807,0.6796
2/26/2015,0.1719,0.2145,0.2616,0.37835,0.66935
2/25/2015,0.172,0.214,0.2609,0.3829,0.6686
2/24/2015,0.1715,0.214,0.2611,0.38515,0.67735
