Date,1 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2015-03-05,0.02,0.02,0.08,0.25,0.65,1.05,1.57,1.9,2.11,2.49,2.71
2015-03-04,0.01,0.01,0.08,0.26,0.66,1.07,1.6,1.93,2.12,2.49,2.72
2015-03-03,0.01,0.02,0.08,0.26,0.68,1.09,1.61,1.94,2.12,2.49,2.71
2015-03-02,0.02,0.02,0.08,0.22,0.66,1.06,1.57,1.89,2.08,2.46,2.68
2015-02-27,0.02,0.02,0.07,0.22,0.63,1.01,1.5,1.82,2.0,2.38,2.6
2015-02-26,0.02,0.03,0.07,0.22,0.66,1.04,1.54,1.86,2.03,2.39,2.63
2015-02-25,0.02,0.02,0.07,0.21,0.61,0.98,1.47,1.78,1.96,2.35,2.56
2015-02-24,0.02,0.02,0.08,0.22,0.6,0.97,1.47,1.79,1.99,2.38,2.6
2015-02-23,0.01,0.02,0.08,0.22,0.64,1.03,1.56,1.88,2.06,2.44,2.66
2015-02-20,0.02,0.02,0.07,0.23,0.67,1.07,1.61,1.94,2.13,2.5,2.73
2015-02-19,0.02,0.02,0.07,0.23,0.67,1.05,1.58,1.92,2.11,2.5,2.73
2015-02-18,0.02,0.02,0.07,0.23,0.62,1.0,1.52,1.86,2.07,2.46,2.7
2015-02-17,0.02,0.02,0.07,0.25,0.7,1.1,1.62,1.95,2.14,2.49,2.73
2015-02-13,0.02,0.01,0.07,0.23,0.66,1.03,1.53,1.84,2.02,2.39,2.63
2015-02-12,0.02,0.02,0.07,0.23,0.61,1.02,1.5,1.81,1.99,2.33,2.58
2015-02-11,0.02,0.01,0.07,0.24,0.67,1.06,1.53,1.83,2.0,2.33,2.57
2015-02-10,0.02,0.01,0.08,0.25,0.67,1.05,1.52,1.82,2.01,2.33,2.58
2015-02-09,0.02,0.01,0.08,0.24,0.65,1.04,1.49,1.78,1.96,2.28,2.52
2015-02-06,0.01,0.02,0.07,0.26,0.65,1.03,1.48,1.77,1.95,2.28,2.51
2015-02-05,0.02,0.02,0.06,0.2,0.52,0.87,1.3,1.62,1.83,2.2,2.42
2015-02-04,0.01,0.01,0.06,0.2,0.52,0.86,1.29,1.61,1.81,2.17,2.39
2015-02-03,0.02,0.02,0.07,0.21,0.52,0.85,1.28,1.6,1.79,2.16,2.37
2015-02-02,0.01,0.02,0.07,0.17,0.49,0.78,1.19,1.49,1.68,2.07,2.25
2015-01-30,0.01,0.02,0.07,0.18,0.47,0.77,1.18,1.49,1.68,2.04,2.25
2015-01-29,0.01,0.03,0.07,0.17,0.51,0.84,1.28,1.59,1.77,2.11,2.33
2015-01-28,0.02,0.02,0.08,0.17,0.5,0.81,1.25,1.53,1.73,2.05,2.29
2015-01-27,0.02,0.02,0.08,0.17,0.54,0.87,1.34,1.62,1.83,2.15,2.4
2015-01-26,0.02,0.03,0.08,0.18,0.54,0.89,1.36,1.64,1.83,2.14,2.4
2015-01-23,0.02,0.02,0.07,0.17,0.52,0.86,1.33,1.62,1.81,2.12,2.38
